,0
11,0
11,15
11,30
6,45
9,60
0,75
11,90
6,105
9,120
4,135
2,150
3,165
9,180
4,195
9,210
6,225
1,240
7,255
2,270
4,285
9,300
4,315
9,330
3,345
9,360
4,375
8,390
6,405
9,420
4,435
2,450
4,465
9,480
0,495
5,510
10,525
4,540
9,555
8,570
0,585
9,600
5,615
9,630
4,645
9,660
9,675
6,690
9,705
4,720
11,735
6,750
1,765
7,780
9,795
6,810
9,825
4,840
9,855
5,870
7,885
9,900
4,915
1,930
7,945
2,960
10,975
4,990
9,1005
2,1020
10,1035
4,1050
9,1065
7,1080
9,1095
6,1110
9,1125
7,1140
9,1155
4,1170
11,1185
4,1200
9,1215
0,1230
2,1245
6,1260
9,1275
4,1290
9,1305
0,1320
9,1335
7,1350
9,1365
4,1380
9,1395
0,1410
6,1425
0,1440
9,1455
5,1470
9,1485
4,1500
6,1515
9,1530
2,1545
7,1560
9,1575
4,1590
9,1605
7,1620
1,1635
7,1650
6,1665
11,1680
4,1695
9,1710
4,1725
9,1740
8,1755
9,1770
0,1785
9,1800
6,1815
7,1830
9,1845
4,1860
1,1875
10,1890
5,1905
9,1920
4,1935
9,1950
4,1965
11,1980
4,1995
1,2010
10,2025
7,2040
2,2055
4,2070
9,2085
4,2100
1,2115
4,2130
10,2145
4,2160
11,2175
6,2190
9,2205
5,2220
9,2235
10,2250
4,2265
2,2280
4,2295
9,2310
4,2325
7,2340
1,2355
9,2370
6,2385
4,2400
9,2415
0,2430
11,2445
5,2460
9,2475
4,2490
0,2505
9,2520
6,2535
9,2550
7,2565
6,2580
9,2595
5,2610
11,2625
4,2640
0,2655
2,2670
9,2685
6,2700
11,2715
1,2730
10,2745
5,2760
9,2775
0,2790
9,2805
5,2820
9,2835
4,2850
9,2865
4,2880
1,2895
6,2910
7,2925
9,2940
4,2955
5,2970
7,2985
9,3000
10,3015
0,3030
4,3045
9,3060
5,3075
0,3090
9,3105
6,3120
2,3135
4,3150
7,3165
9,3180
10,3195
4,3210
2,3225
3,3240
2,3255
4,3270
9,3285
5,3300
3,3315
11,3330
11,3345
11,3360
11,3375
