,0
11,0
11,25
5,50
1,75
10,100
4,125
9,150
8,175
1,200
6,225
9,250
4,275
9,300
0,325
6,350
11,375
4,400
2,425
10,450
4,475
1,500
8,525
4,550
9,575
6,600
9,625
4,650
2,675
11,700
1,725
6,750
11,775
4,800
9,825
6,850
9,875
7,900
2,925
4,950
10,975
1,1000
7,1025
9,1050
6,1075
9,1100
8,1125
4,1150
9,1175
7,1200
1,1225
4,1250
9,1275
6,1300
11,1325
0,1350
9,1375
4,1400
2,1425
11,1450
6,1475
9,1500
4,1525
1,1550
11,1575
4,1600
2,1625
10,1650
7,1675
1,1700
11,1725
4,1750
9,1775
8,1800
10,1825
4,1850
1,1875
4,1900
9,1925
8,1950
4,1975
10,2000
2,2025
7,2050
6,2075
9,2100
4,2125
3,2150
11,2175
5,2200
9,2225
4,2250
10,2275
2,2300
4,2325
9,2350
7,2375
6,2400
0,2425
9,2450
5,2475
9,2500
7,2525
6,2550
0,2575
9,2600
5,2625
7,2650
1,2675
10,2700
9,2725
4,2750
11,2775
1,2800
5,2825
10,2850
4,2875
1,2900
7,2925
2,2950
6,2975
9,3000
0,3025
10,3050
4,3075
9,3100
5,3125
7,3150
10,3175
4,3200
2,3225
3,3250
9,3275
7,3300
11,3325
11,3350
