,0
11,0
11,5
11,10
11,15
11,20
11,25
11,30
11,35
11,40
4,45
4,50
9,55
9,60
7,65
6,70
11,75
9,80
9,85
11,90
10,95
9,100
9,105
6,110
11,115
11,120
9,125
11,130
11,135
11,140
9,145
7,150
11,155
9,160
9,165
9,170
9,175
9,180
9,185
9,190
9,195
11,200
9,205
9,210
11,215
11,220
9,225
11,230
11,235
11,240
7,245
9,250
9,255
9,260
4,265
9,270
9,275
9,280
9,285
9,290
11,295
9,300
10,305
4,310
9,315
9,320
4,325
4,330
9,335
9,340
4,345
4,350
9,355
9,360
4,365
4,370
9,375
9,380
4,385
4,390
4,395
9,400
4,405
4,410
4,415
9,420
9,425
9,430
9,435
9,440
9,445
9,450
9,455
9,460
9,465
9,470
9,475
4,480
4,485
4,490
4,495
9,500
6,505
4,510
9,515
9,520
9,525
9,530
9,535
9,540
11,545
9,550
11,555
9,560
9,565
9,570
0,575
9,580
4,585
4,590
9,595
9,600
4,605
4,610
9,615
8,620
4,625
4,630
9,635
9,640
4,645
4,650
9,655
9,660
9,665
4,670
1,675
9,680
9,685
4,690
4,695
4,700
9,705
4,710
4,715
9,720
10,725
9,730
9,735
9,740
9,745
9,750
9,755
9,760
9,765
4,770
4,775
9,780
4,785
4,790
9,795
9,800
4,805
5,810
8,815
9,820
9,825
9,830
11,835
11,840
9,845
9,850
9,855
9,860
4,865
4,870
9,875
9,880
4,885
4,890
9,895
9,900
4,905
4,910
4,915
9,920
4,925
4,930
9,935
9,940
9,945
9,950
9,955
9,960
9,965
4,970
9,975
10,980
6,985
6,990
10,995
6,1000
10,1005
9,1010
9,1015
10,1020
10,1025
9,1030
9,1035
9,1040
9,1045
9,1050
4,1055
9,1060
4,1065
4,1070
9,1075
9,1080
4,1085
4,1090
4,1095
7,1100
4,1105
4,1110
9,1115
9,1120
9,1125
9,1130
9,1135
9,1140
9,1145
9,1150
9,1155
11,1160
5,1165
6,1170
10,1175
9,1180
5,1185
5,1190
8,1195
9,1200
5,1205
5,1210
8,1215
5,1220
5,1225
5,1230
9,1235
9,1240
9,1245
9,1250
11,1255
9,1260
9,1265
9,1270
9,1275
9,1280
5,1285
5,1290
9,1295
9,1300
5,1305
5,1310
5,1315
9,1320
5,1325
5,1330
8,1335
4,1340
9,1345
9,1350
9,1355
4,1360
9,1365
10,1370
11,1375
9,1380
9,1385
4,1390
9,1395
9,1400
10,1405
9,1410
9,1415
4,1420
9,1425
10,1430
10,1435
6,1440
10,1445
6,1450
9,1455
10,1460
9,1465
4,1470
9,1475
11,1480
9,1485
9,1490
9,1495
4,1500
9,1505
9,1510
4,1515
9,1520
9,1525
4,1530
4,1535
9,1540
9,1545
9,1550
9,1555
9,1560
9,1565
9,1570
9,1575
4,1580
4,1585
4,1590
4,1595
9,1600
4,1605
4,1610
4,1615
7,1620
9,1625
7,1630
11,1635
11,1640
11,1645
9,1650
9,1655
9,1660
10,1665
10,1670
9,1675
9,1680
4,1685
4,1690
9,1695
9,1700
