,0
11,0
11,20
11,40
4,60
1,80
6,100
11,120
5,140
9,160
7,180
9,200
6,220
7,240
9,260
4,280
11,300
5,320
9,340
0,360
9,380
6,400
7,420
9,440
5,460
10,480
7,500
9,520
5,540
9,560
0,580
9,600
4,620
9,640
8,660
4,680
9,700
3,720
9,740
7,760
6,780
9,800
5,820
7,840
6,860
0,880
9,900
5,920
1,940
11,960
4,980
9,1000
6,1020
0,1040
9,1060
5,1080
11,1100
0,1120
9,1140
6,1160
9,1180
4,1200
8,1220
10,1240
4,1260
9,1280
0,1300
5,1320
10,1340
7,1360
1,1380
6,1400
9,1420
7,1440
9,1460
5,1480
0,1500
9,1520
4,1540
9,1560
7,1580
6,1600
9,1620
0,1640
9,1660
5,1680
7,1700
9,1720
6,1740
0,1760
9,1780
4,1800
9,1820
0,1840
5,1860
9,1880
4,1900
9,1920
7,1940
1,1960
6,1980
11,2000
2,2020
4,2040
9,2060
8,2080
9,2100
4,2120
10,2140
5,2160
3,2180
11,2200
4,2220
9,2240
8,2260
4,2280
9,2300
7,2320
10,2340
1,2360
4,2380
9,2400
5,2420
10,2440
0,2460
9,2480
4,2500
2,2520
11,2540
6,2560
1,2580
7,2600
10,2620
5,2640
1,2660
7,2680
9,2700
4,2720
10,2740
1,2760
4,2780
11,2800
2,2820
4,2840
9,2860
3,2880
4,2900
11,2920
2,2940
4,2960
10,2980
2,3000
4,3020
9,3040
0,3060
11,3080
4,3100
9,3120
4,3140
10,3160
2,3180
0,3200
9,3220
6,3240
8,3260
0,3280
11,3300
11,3320
