,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,15,0
2,0.0,0,30,0
3,0.0,2,45,2
4,17.5,7,60,2
5,74.0,13,75,1
6,34.0,12,90,3
7,8.5,19,105,2
8,0.0,23,120,1
9,0.0,33,135,0
10,254.0,39,150,1
11,493.5,40,165,2
12,488.0,33,180,2
13,0.0,36,195,0
14,104.0,51,210,1
15,385.0,42,225,1
16,0.0,40,240,0
17,0.0,55,255,0
18,0.0,62,270,0
19,1001.6666666666666,67,285,3
20,330.0,55,300,1
21,538.0,54,315,3
22,1941.0,61,330,1
23,315.3333333333333,55,345,3
24,35.0,56,360,3
25,377.0,66,375,2
26,713.0,64,390,4
27,889.5,72,405,4
28,730.5,65,420,4
29,666.6666666666666,64,435,3
30,1216.5,76,450,2
31,561.6666666666666,59,465,3
32,80.5,51,480,2
33,0.0,49,495,0
34,83.0,52,510,1
35,39.0,59,525,1
36,839.0,68,540,2
37,475.5,63,555,2
38,565.0,74,570,1
39,0.0,70,585,1
40,719.5,81,600,2
41,333.0,79,615,2
42,608.6666666666666,73,630,3
43,152.0,65,645,2
44,109.0,77,660,2
45,190.5,73,675,2
46,689.0,76,690,1
47,1937.0,76,705,2
48,0.0,70,720,1
49,2084.0,70,735,2
50,4391.0,77,750,1
51,1242.5,74,765,2
52,782.6666666666666,59,780,3
53,361.0,63,795,2
54,87.0,66,810,2
55,0.0,79,825,0
56,0.0,77,840,0
57,796.0,81,855,2
58,524.0,75,870,3
59,874.0,74,885,3
60,881.0,67,900,1
61,139.33333333333334,66,915,3
62,81.0,57,930,1
63,1442.3333333333333,78,945,3
64,1102.0,77,960,2
65,142.33333333333334,62,975,3
66,465.0,73,990,2
67,636.5,74,1005,2
68,727.5,65,1020,2
69,597.6666666666666,69,1035,3
70,1070.0,73,1050,2
71,2500.0,76,1065,1
72,789.75,65,1080,4
73,105.0,63,1095,1
74,733.25,66,1110,4
75,214.66666666666666,49,1125,3
76,0.0,41,1140,1
77,132.0,48,1155,2
78,80.0,57,1170,1
79,0.0,54,1185,1
80,0.0,65,1200,0
81,1005.0,74,1215,3
82,904.0,62,1230,2
83,436.0,50,1245,1
84,633.0,55,1260,2
85,194.0,56,1275,2
86,129.0,60,1290,3
87,277.5,54,1305,2
88,0.0,43,1320,0
89,373.6666666666667,62,1335,3
90,798.0,61,1350,2
91,591.0,57,1365,1
92,1273.5,55,1380,2
93,186.5,49,1395,4
94,52.0,53,1410,2
95,0.0,45,1425,0
96,0.0,52,1440,1
97,0.0,57,1455,1
98,866.0,61,1470,2
99,507.25,55,1485,4
100,241.66666666666666,51,1500,3
101,45.5,54,1515,2
102,579.0,77,1530,3
103,660.0,71,1545,3
104,1049.0,69,1560,2
105,1073.0,72,1575,3
106,355.75,67,1590,4
107,132.0,68,1605,2
108,127.5,69,1620,2
109,46.5,54,1635,4
110,578.0,63,1650,1
111,0.0,66,1665,0
112,0.0,71,1680,1
113,899.0,79,1695,2
114,860.0,74,1710,2
115,732.5,71,1725,2
116,897.5,74,1740,2
117,939.3333333333334,83,1755,3
118,385.3333333333333,73,1770,3
119,52.5,70,1785,2
120,1291.0,79,1800,2
