,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,15,0
2,0.0,0,30,0
3,0.0,2,45,2
4,8.5,8,60,2
5,0.0,10,75,1
6,17.0,10,90,3
7,12.0,13,105,2
8,23.0,13,120,1
9,0.0,16,135,0
10,43.0,19,150,1
11,16.5,18,165,2
12,33.5,26,180,2
13,0.0,20,195,0
14,84.0,23,210,1
15,60.0,18,225,1
16,0.0,23,240,0
17,0.0,16,255,0
18,0.0,19,270,0
19,13.5,16,285,2
20,0.0,20,300,0
21,0.0,14,315,2
22,0.0,23,330,0
23,56.0,15,345,2
24,27.333333333333332,19,360,3
25,82.0,15,375,1
26,22.0,12,390,3
27,17.5,18,405,2
28,87.66666666666667,16,420,3
29,14.0,22,435,1
30,0.0,17,450,0
31,0.0,25,465,1
32,0.0,22,480,0
33,0.0,27,495,0
34,0.0,22,510,1
35,93.5,19,525,2
36,76.0,21,540,2
37,77.0,22,555,2
38,32.0,19,570,1
39,0.0,20,585,1
40,138.0,24,600,1
41,9.0,14,615,2
42,73.0,21,630,2
43,0.0,18,645,0
44,0.0,19,660,0
45,26.0,16,675,1
46,52.0,19,690,2
47,0.0,20,705,1
48,0.0,24,720,0
49,11.0,19,735,2
50,34.0,26,750,1
51,0.0,21,765,1
52,110.0,20,780,1
53,0.0,22,795,0
54,51.5,28,810,2
55,0.0,24,825,0
56,91.0,23,840,1
57,0.0,21,855,0
58,18.0,21,870,1
59,73.5,21,885,2
60,0.0,21,900,0
61,29.5,22,915,2
62,3.0,24,930,1
63,31.0,24,945,1
64,0.0,25,960,0
65,143.0,23,975,1
66,0.0,30,990,0
67,0.0,29,1005,0
68,399.0,30,1020,1
69,159.0,25,1035,2
70,19.0,23,1050,1
71,0.0,30,1065,0
72,11.0,24,1080,2
73,0.0,31,1095,0
74,60.5,19,1110,2
75,93.0,27,1125,1
76,0.0,21,1140,0
77,52.5,27,1155,2
78,95.0,24,1170,2
79,41.0,32,1185,1
80,0.0,31,1200,0
81,57.0,30,1215,1
82,0.0,36,1230,0
83,0.0,26,1245,0
84,0.0,33,1260,1
85,230.0,27,1275,1
86,42.0,27,1290,2
87,135.5,29,1305,2
88,0.0,29,1320,0
89,58.5,27,1335,2
90,0.0,33,1350,1
91,0.0,34,1365,0
92,0.0,32,1380,0
93,465.0,32,1395,2
94,97.0,34,1410,1
95,0.0,31,1425,0
96,78.0,30,1440,1
97,131.0,27,1455,2
98,0.0,28,1470,1
99,93.0,30,1485,4
100,113.75,30,1500,4
101,230.5,37,1515,2
102,0.0,37,1530,1
103,77.5,41,1545,2
104,11.0,43,1560,1
105,0.0,41,1575,1
106,35.0,42,1590,2
107,0.0,41,1605,0
108,95.0,46,1620,1
109,363.0,41,1635,2
110,254.0,47,1650,1
111,0.0,40,1665,0
112,124.0,40,1680,3
113,207.0,41,1695,2
114,0.0,40,1710,0
115,0.0,50,1725,0
116,0.0,43,1740,1
117,50.666666666666664,46,1755,3
118,0.0,44,1770,2
119,95.0,48,1785,1
120,0.0,41,1800,0
121,0.0,44,1815,0
122,0.0,40,1830,0
123,1134.0,39,1845,1
124,0.0,39,1860,0
125,0.0,41,1875,0
