,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,20,0
2,0.0,0,40,1
3,0.0,8,60,1
4,16.0,9,80,1
5,0.0,12,100,0
6,0.0,10,120,1
7,20.0,9,140,1
8,0.0,13,160,0
9,0.0,13,180,0
10,0.0,13,200,0
11,32.0,15,220,1
12,40.0,16,240,3
13,0.0,18,260,1
14,166.0,19,280,1
15,0.0,16,300,0
16,181.0,18,320,2
17,0.0,25,340,0
18,0.0,17,360,1
19,0.0,19,380,0
20,0.0,15,400,2
21,0.0,17,420,0
22,139.0,15,440,1
23,13.0,14,460,1
24,0.0,18,480,0
25,0.0,12,500,0
26,0.0,13,520,0
27,0.0,12,540,2
28,0.0,15,560,0
29,66.0,9,580,2
30,0.0,7,600,2
31,0.0,9,620,1
32,36.0,11,640,1
33,40.0,16,660,1
34,93.0,19,680,2
35,126.0,19,700,1
36,0.0,15,720,2
37,0.0,22,740,2
38,214.5,21,760,2
39,0.0,21,780,0
40,0.0,18,800,0
41,95.0,22,820,1
42,0.0,16,840,1
43,0.0,16,860,0
44,0.0,19,880,0
45,0.0,16,900,0
46,0.0,14,920,0
47,77.0,22,940,1
48,0.0,19,960,1
49,111.5,23,980,2
50,0.0,21,1000,1
51,40.0,15,1020,2
52,0.0,17,1040,0
53,136.5,19,1060,2
54,145.5,16,1080,2
55,63.0,18,1100,1
56,0.0,16,1120,0
57,96.0,15,1140,2
58,7.5,11,1160,2
59,63.0,15,1180,1
60,0.0,17,1200,0
61,0.0,15,1220,2
62,0.0,17,1240,0
63,0.0,13,1260,0
64,0.0,16,1280,0
65,0.0,9,1300,1
66,0.0,14,1320,1
67,12.0,14,1340,1
68,0.0,15,1360,0
69,139.5,13,1380,2
70,16.0,11,1400,2
71,0.0,22,1420,0
72,57.0,16,1440,1
73,17.5,18,1460,2
74,0.0,18,1480,0
75,0.0,20,1500,0
76,0.0,13,1520,1
77,0.0,15,1540,0
78,1.0,13,1560,2
79,34.0,17,1580,1
80,0.0,16,1600,0
81,70.0,19,1620,2
82,72.5,17,1640,2
83,0.0,20,1660,0
84,19.666666666666668,18,1680,3
85,168.0,21,1700,1
86,0.0,21,1720,0
87,0.0,14,1740,1
88,0.0,12,1760,1
89,0.0,17,1780,0
90,0.0,10,1800,1
91,26.0,10,1820,2
92,39.5,12,1840,2
93,14.0,17,1860,3
94,74.0,18,1880,1
95,31.333333333333332,16,1900,3
96,0.0,21,1920,1
97,21.0,15,1940,2
98,0.0,20,1960,0
99,0.0,15,1980,0
100,80.66666666666667,12,2000,3
101,0.0,12,2020,0
102,9.0,11,2040,2
103,0.0,10,2060,0
104,5.0,4,2080,2
105,0.0,17,2100,0
106,0.0,15,2120,0
107,116.0,13,2140,1
108,189.0,12,2160,1
109,12.0,11,2180,2
110,36.333333333333336,13,2200,3
111,0.0,13,2220,2
112,0.0,18,2240,0
113,0.0,9,2260,2
114,45.0,18,2280,1
115,93.5,19,2300,2
116,3.0,16,2320,2
117,0.0,19,2340,0
118,0.0,22,2360,0
119,0.0,23,2380,0
120,0.0,17,2400,0
121,35.0,17,2420,1
122,0.0,15,2440,0
123,75.5,17,2460,2
124,153.0,17,2480,2
125,3.0,20,2500,2
126,0.0,18,2520,0
127,0.0,16,2540,1
128,0.0,13,2560,0
129,37.0,10,2580,1
130,0.0,10,2600,0
131,70.0,12,2620,1
132,13.0,18,2640,1
133,93.0,21,2660,2
134,76.75,21,2680,4
135,209.0,22,2700,1
136,0.0,18,2720,1
137,15.0,22,2740,2
138,92.0,21,2760,1
139,78.33333333333333,22,2780,3
140,0.0,20,2800,2
141,0.0,20,2820,1
142,59.0,15,2840,1
143,19.0,15,2860,2
144,37.5,13,2880,2
145,62.0,15,2900,1
146,0.0,17,2920,0
147,16.5,17,2940,2
148,0.0,16,2960,0
149,142.0,16,2980,1
150,129.0,16,3000,1
151,68.0,19,3020,1
152,131.5,18,3040,2
153,50.0,12,3060,1
154,19.0,19,3080,1
155,0.0,15,3100,1
156,0.0,19,3120,1
157,183.0,14,3140,1
158,57.0,22,3160,1
159,0.0,22,3180,1
160,0.0,16,3200,1
161,0.0,18,3220,2
162,0.0,15,3240,0
163,0.0,7,3260,0
164,0.0,3,3280,0
165,0.0,0,3300,0
166,0.0,0,3320,0
