,Average waiting time,queue length,steps,volume
0,0.0,0,0,0
1,0.0,0,25,5
2,2.1538461538461537,4,50,13
3,6.9375,6,75,16
4,10.173913043478262,8,100,23
5,12.238095238095237,14,125,21
6,20.90909090909091,14,150,22
7,22.692307692307693,14,175,26
8,17.14814814814815,16,200,27
9,26.48148148148148,16,225,27
10,25.26086956521739,14,250,23
11,32.08,16,275,25
12,36.5,13,300,28
13,45.03448275862069,18,325,29
14,52.29032258064516,18,350,31
15,44.628571428571426,22,375,35
16,26.88888888888889,24,400,36
17,31.96969696969697,20,425,33
18,18.5,19,450,28
19,29.0,19,475,28
20,25.21875,16,500,32
21,20.647058823529413,22,525,34
22,31.322580645161292,20,550,31
23,32.125,17,575,32
24,33.41025641025641,20,600,39
25,27.76923076923077,25,625,39
26,34.35294117647059,21,650,34
27,50.46153846153846,18,675,26
28,49.206896551724135,17,700,29
29,20.15625,20,725,32
30,24.733333333333334,21,750,30
31,25.36,12,775,25
32,28.866666666666667,16,800,30
33,44.46153846153846,16,825,26
34,43.69230769230769,16,850,26
35,16.14814814814815,14,875,27
36,15.068965517241379,17,900,29
37,11.851851851851851,13,925,27
38,12.875,14,950,32
39,21.333333333333332,21,975,36
40,22.35135135135135,23,1000,37
41,18.70967741935484,15,1025,31
42,23.24137931034483,16,1050,29
43,18.866666666666667,17,1075,30
44,24.821428571428573,15,1100,28
45,26.22222222222222,16,1125,27
46,15.193548387096774,16,1150,31
47,11.0625,16,1175,32
48,19.88235294117647,20,1200,34
49,17.46153846153846,19,1225,39
50,26.972972972972972,22,1250,37
51,26.085714285714285,26,1275,35
52,32.638888888888886,26,1300,36
53,41.41379310344828,17,1325,29
54,8.75,12,1350,24
55,14.74074074074074,15,1375,27
56,15.535714285714286,15,1400,28
57,22.448275862068964,15,1425,29
58,25.333333333333332,17,1450,24
59,20.0,15,1475,28
60,19.56,17,1500,25
61,14.45,11,1525,20
62,15.521739130434783,11,1550,23
63,16.045454545454547,14,1575,22
64,25.31578947368421,13,1600,19
65,9.076923076923077,10,1625,26
66,11.575757575757576,18,1650,33
67,16.17241379310345,19,1675,29
68,18.685714285714287,17,1700,35
69,39.10344827586207,21,1725,29
70,29.06451612903226,18,1750,31
71,25.53125,20,1775,32
72,35.074074074074076,16,1800,27
73,23.653846153846153,16,1825,26
74,24.75,13,1850,32
75,31.555555555555557,23,1875,36
76,44.18181818181818,22,1900,33
77,36.4054054054054,23,1925,37
78,23.675675675675677,26,1950,37
79,41.096774193548384,23,1975,31
80,26.79310344827586,14,2000,29
81,28.63157894736842,20,2025,38
82,21.857142857142858,24,2050,35
83,31.484848484848484,23,2075,33
84,37.21875,22,2100,32
85,36.0,22,2125,32
86,15.862068965517242,17,2150,29
87,12.30232558139535,21,2175,43
88,24.954545454545453,31,2200,44
89,31.125,21,2225,32
90,32.27777777777778,18,2250,36
91,41.95,26,2275,40
92,54.72727272727273,21,2300,33
93,65.87878787878788,21,2325,33
94,65.11428571428571,24,2350,35
95,70.91666666666667,25,2375,36
96,36.8,17,2400,30
97,10.53125,19,2425,32
98,18.55263157894737,23,2450,38
99,18.974358974358974,22,2475,39
100,32.55555555555556,26,2500,36
101,23.448275862068964,17,2525,29
102,20.114285714285714,20,2550,35
103,19.454545454545453,25,2575,33
104,25.735294117647058,20,2600,34
105,20.26829268292683,19,2625,41
106,36.56410256410256,29,2650,39
107,40.61538461538461,22,2675,39
108,37.888888888888886,23,2700,36
109,24.862068965517242,20,2725,29
110,21.28125,18,2750,32
111,29.366666666666667,22,2775,30
112,18.741935483870968,15,2800,31
113,21.15,20,2825,40
114,29.105263157894736,23,2850,38
115,37.023809523809526,26,2875,42
116,29.666666666666668,27,2900,42
117,35.85,27,2925,40
118,44.078947368421055,21,2950,38
119,26.795454545454547,28,2975,44
120,38.76315789473684,27,3000,38
121,45.76315789473684,25,3025,38
122,22.871794871794872,22,3050,39
123,31.216216216216218,24,3075,37
124,37.432432432432435,23,3100,37
125,20.4375,21,3125,32
126,15.870967741935484,17,3150,31
127,14.928571428571429,16,3175,28
128,20.14814814814815,16,3200,27
129,24.166666666666668,13,3225,18
130,46.07692307692308,13,3250,13
131,79.375,8,3275,8
132,82.0,3,3300,3
133,0.0,0,3325,0
134,0.0,0,3350,0
